,ticker,currentPrice,beta,marketCap,volume,dividendYield,sector
419,SMCI,60.13,1.425,35886665728,30372477,0.0,Technology
420,SYF,70.51,1.452,26233808896,1229801,1.71,Financial Services
421,SNPS,638.67,1.123,118182051840,512969,0.0,Technology
422,SYY,79.69,0.817,38051655680,1035364,2.7,Consumer Defensive
423,TMUS,238.77,0.611,268716539904,1727997,1.46,Communication Services
424,TROW,102.14,1.506,22503075840,1108880,4.89,Financial Services
425,TTWO,222.95,1.035,41126920192,715262,0.0,Communication Services
426,TPR,108.1,1.485,22451288064,1543953,1.29,Consumer Cyclical
427,TRGP,167.38,1.077,36310077440,361889,2.39,Energy
428,TGT,101.2003,1.214,45981978624,2057616,4.36,Consumer Defensive
429,TEL,206.77,1.221,61096812544,631478,1.37,Technology
430,TDY,554.27,1.044,25988890624,113587,0.0,Technology
431,TER,108.615,1.695,17424017408,4767795,0.45,Technology
432,TSLA,310.02,2.398,999953989632,52724622,0.0,Consumer Cyclical
433,TXN,181.22,1.016,164753817600,3765715,2.87,Technology
434,TPL,968.04,1.092,22252625920,46296,0.65,Energy
435,TXT,77.35,1.169,13784156160,767194,0.1,Industrials
436,TMO,477.1,0.772,180102397952,1801336,0.36,Healthcare
437,TJX,124.79,0.881,139218223104,1589229,1.35,Consumer Cyclical
438,TKO,168.79,0.8970181722975117,13798160384,251846,0.91,Communication Services
439,TTD,87.52,1.362,42790764544,4271633,0.0,Communication Services
440,TSCO,57.62,0.748,30550296576,1481464,1.59,Consumer Cyclical
441,TT,438.64,1.156,97824620544,1016343,0.87,Industrials
442,TRV,261.81,0.519,58942332928,497144,1.7,Financial Services
443,TRMB,84.42,1.674,20141514752,549787,0.0,Technology
444,TFC,43.97,0.83,56696676352,2630391,4.7,Financial Services
445,TYL,570.36,0.848,24595918848,604740,0.0,Technology
446,TSN,52.52,0.577,18709409792,1097127,3.78,Consumer Defensive
447,USB,45.065,1.015,70212616192,5626925,4.36,Financial Services
448,UBER,88.21,1.395,184462114816,9685824,0.0,Technology
449,UDR,39.61,0.819,14932811776,2798279,4.32,Real Estate
450,ULTA,518.175,1.077,23289686016,190130,0.0,Consumer Cyclical
451,UNP,222.29,1.049,131826860032,2673879,2.45,Industrials
452,UAL,88.71,1.42,28718266368,3197019,0.0,Industrials
453,UPS,86.23,1.186,73019392000,8696089,7.52,Industrials
454,URI,884.61,1.695,56916869120,194046,0.81,Industrials
455,UNH,253.4435,0.457,229908725760,17963789,3.32,Healthcare
456,UHS,167.74,1.285,10809233408,606230,0.48,Healthcare
457,VLO,137.265,0.967,42641645568,1540829,3.24,Energy
458,VTR,67.205,0.89,30334724096,2424731,2.89,Real Estate
459,VLTO,105.34,0.7346139571403812,26141278208,995893,0.42,Industrials
460,VRSN,268.085,0.778,25041442816,842408,1.15,Technology
461,VRSK,276.16,0.3798055890754582,38583697408,922714,0.65,Industrials
462,VZ,42.955,0.372,181112029184,10885079,6.36,Communication Services
463,VRTX,464.84,0.413,119369515008,552079,0.0,Healthcare
464,VTRS,8.88,0.889,10422278144,3188325,5.33,Healthcare
465,VICI,32.735,0.721,34591404032,2979521,5.32,Real Estate
466,V,349.39,0.922,678145097728,3672252,0.67,Financial Services
467,VST,207.63,1.279,70455500800,3518858,0.43,Utilities
468,VMC,270.38,0.817,35718279168,1039586,0.72,Communication Services
469,WRB,69.345,0.417,26308452352,719934,0.52,Financial Services
470,GWW,1040.46,1.18,49982865408,161576,0.87,Industrials
471,WAB,190.015,1.119,32483633152,665514,0.52,Industrials
472,WBA,11.64,0.748,10075130880,1743612,8.6,Healthcare
473,WMT,98.005,0.677,782121041920,6070787,0.96,Consumer Defensive
474,DIS,118.97,1.561,213878325248,2513855,0.84,Communication Services
475,WBD,13.06,1.544,32311355392,30462883,0.0,Communication Services
476,WM,230.465,0.642,92852322304,552132,1.42,Industrials
477,WAT,294.35,1.101,17516503040,743320,0.0,Healthcare
478,WEC,108.86,0.1461656735980213,35038330880,856882,3.29,Utilities
479,WFC,80.8,1.157,260205903872,6501095,2.2,Financial Services
480,WELL,165.73,0.904,110844526592,866118,1.78,Real Estate
481,WST,242.915,1.088,17467361280,235211,0.35,Healthcare
482,WDC,78.49,1.592,27383435264,17257117,0.56,Technology
483,WY,25.25,1.152,18218151936,2463935,3.29,Real Estate
484,WSM,187.0,1.455,23000625152,429067,1.39,Consumer Cyclical
485,WMB,60.05,0.676,73321652224,3057453,3.38,Energy
486,WTW,316.05,0.687,31336292352,414861,1.22,Financial Services
487,WDAY,232.23,1.21,61911588864,2653667,0.0,Technology
488,WYNN,108.95,1.364,11391158272,2644162,0.91,Consumer Cyclical
489,XEL,73.19,0.372,42213142528,1688781,3.15,Utilities
490,XYL,143.015,1.115,34802843648,1688901,1.23,Industrials
491,YUM,145.425,0.733,40423059456,1138707,1.93,Consumer Cyclical
492,ZBRA,349.09,1.751,17752727552,762444,0.0,Technology
493,ZBH,92.62,0.71,18324682752,724566,1.03,Healthcare
494,ZTS,147.105,0.911,65492320256,2004217,1.34,Healthcare
